run_accession,sample_accession,experiment_accession,study_accession,tax_id,scientific_name,walker_taxon,strain,comid,library_name,fastq_ftp,bucket_id
SRR30899435,SAMN44081101,SRX26302972,PRJNA1169681,220927,Mycobacterium saskatchewanense,Mycobacterium saskatchewanense,JCM_13016,C00018239,58ca57d4-4e86-4d82-b407-1d3e61242b6f,ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/035/SRR30899435/SRR30899435_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/035/SRR30899435/SRR30899435_2.fastq.gz,031aa92c-49a8-4264-b565-b62ca6033376
SRR30899443,SAMN44081094,SRX26302964,PRJNA1169681,758802,Mycolicibacterium litorale,Mycobacterium litorale,JCM_17423,C00018272,1e67ccc3-fbcb-4223-9df7-9f9a284347f1,ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/043/SRR30899443/SRR30899443_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/043/SRR30899443/SRR30899443_2.fastq.gz,1408652c-ee98-40cd-93bf-733a85d341f8
SRR30899444,SAMN44081093,SRX26302963,PRJNA1169681,43348,Mycobacterium branderi,Mycobacterium branderi,JCM_12687,C00018297,2b0f66d2-c7fa-439a-be40-9d14539dbeb7,ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/044/SRR30899444/SRR30899444_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/044/SRR30899444/SRR30899444_2.fastq.gz,57929ae7-b016-417d-86e8-05ec54c31049
SRR30899445,SAMN44081092,SRX26302962,PRJNA1169681,1784,Mycobacterium simiae,Mycobacterium simiae,JCM_12377,C00018235,a7d8be40-66fa-48e7-8763-0f7c8279cde3,ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/045/SRR30899445/SRR30899445_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/045/SRR30899445/SRR30899445_2.fastq.gz,ea46d74f-2122-4437-872e-df4085f6348c
SRR30899446,SAMN44081091,SRX26302961,PRJNA1169681,28045,Mycobacterium celatum,Mycobacterium celatum,NCTC_12882,C00016631,26d54846-d568-4aac-85a1-9a60eb9e64cc,ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/046/SRR30899446/SRR30899446_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/046/SRR30899446/SRR30899446_2.fastq.gz,86cadc9e-c675-4fd1-9217-d96ad02bbdf6
SRR30899449,SAMN44081088,SRX26302958,PRJNA1169681,1118379,Mycolicibacter minnesotensis,Mycobacterium minnesotense,JCM_17932,C00018334,2d040937-0f48-434b-85b8-16e1e63639b8,ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/049/SRR30899449/SRR30899449_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/049/SRR30899449/SRR30899449_2.fastq.gz,0897ee20-336a-4731-a6fb-eab3fb03a1e9
SRR30899450,SAMN44081087,SRX26302957,PRJNA1169681,36813,Mycolicibacterium pulveris,Mycobacterium pulveris,DSM_44222,C00018210,57399106-0156-4728-a6cf-4e06d78bf518,ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/050/SRR30899450/SRR30899450_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/050/SRR30899450/SRR30899450_2.fastq.gz,bb6d5f09-7035-49fb-8990-dd160ee4e80c
SRR30899451,SAMN44081060,SRX26302956,PRJNA1169681,1791,Mycolicibacterium aurum,Mycobacterium aurum,NCTC_10437,C00016611,9b5082a8-9141-4520-91de-6314c63d3d10,ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/051/SRR30899451/SRR30899451_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/051/SRR30899451/SRR30899451_2.fastq.gz,1f0aa584-6a82-47ec-b960-125928e7c7d7
SRR30899455,SAMN44081083,SRX26302952,PRJNA1169681,39694,Mycolicibacterium poriferae,Mycobacterium poriferae,JCM_12603,C00018236,ab36f668-1531-4d4d-904c-6f4f9a0b6e31,ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/055/SRR30899455/SRR30899455_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/055/SRR30899455/SRR30899455_2.fastq.gz,0244161a-e140-482b-8bd5-a258c84851a3
SRR30899458,SAMN44081080,SRX26302949,PRJNA1169681,370526,Mycolicibacterium rutilum,Mycobacterium rutilum,JCM_16371,C00018269,e819ce4d-a0cf-4b6c-ae3b-328a36b5321a,ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/058/SRR30899458/SRR30899458_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/058/SRR30899458/SRR30899458_2.fastq.gz,4d014056-6527-486b-87f5-a4ae4ce862c6
SRR30899462,SAMN44081059,SRX26302945,PRJNA1169681,1771,Mycolicibacterium phlei,Mycobacterium smegmatis,NCTC_00525,C00018342,b38facbd-6e58-4ad9-a31a-06013452744e,ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/062/SRR30899462/SRR30899462_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/062/SRR30899462/SRR30899462_2.fastq.gz,085e0f9b-daa3-4c08-8e44-b47afa0f0381
SRR30899463,SAMN44081076,SRX26302944,PRJNA1169681,216929,Mycolicibacterium psychrotolerans,Mycobacterium psychrotolerans,JCM_13323,C00018316,a70aaec7-11e8-46c5-9db0-2bbefc1bf0ea,ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/063/SRR30899463/SRR30899463_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/063/SRR30899463/SRR30899463_2.fastq.gz,9b220667-f3f0-4668-9768-c721d300e51b
SRR30899465,SAMN44081074,SRX26302942,PRJNA1169681,1789,Mycobacterium xenopi,Mycobacterium xenopi,NCTC_10042,C00016637,1e39f22c-c3ce-45b0-90a3-ff0fb6fb3635,ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/065/SRR30899465/SRR30899465_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/065/SRR30899465/SRR30899465_2.fastq.gz,fd36c4ee-1c4e-4f3b-9d94-725986afda8d
SRR30899466,SAMN44081073,SRX26302941,PRJNA1169681,126673,Mycolicibacterium doricum,Mycobacterium doricum,JCM_12405,C00018313,d8bcda39-66c9-4a0e-998d-a2837f2ff781,ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/066/SRR30899466/SRR30899466_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/066/SRR30899466/SRR30899466_2.fastq.gz,bfc4dc23-2a8f-4a9b-bb33-c28f66d62f3f
SRR30899474,SAMN44081142,SRX26302933,PRJNA1169681,36811,Mycolicibacterium agri,Mycobacterium agri,JCM_6377,C00018337,2a04595a-5983-404b-8b93-e53b04714bb1,ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/074/SRR30899474/SRR30899474_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/074/SRR30899474/SRR30899474_2.fastq.gz,a9124a26-3216-46f8-af3f-74f6c2ccc8db
SRR30899479,SAMN44081137,SRX26302928,PRJNA1169681,228230,Mycolicibacterium canariasense,Mycobacterium canariasense,JCM_15298,C00018323,880536e0-2af9-4bb4-afcc-73ccd8595dbc,ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/079/SRR30899479/SRR30899479_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/079/SRR30899479/SRR30899479_2.fastq.gz,8b4c39a4-a04d-4de3-9991-de8b39be54d4
SRR30899480,SAMN44081065,SRX26302927,PRJNA1169681,1780,Mycobacterium malmoense,Mycobacterium malmoense,NCTC_11298,C00018364,746c519b-813b-4347-b6d4-192ab3ad7954,ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/080/SRR30899480/SRR30899480_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/080/SRR30899480/SRR30899480_2.fastq.gz,798ee138-bb86-405c-b3b6-71c4cb03c385
SRR30899482,SAMN44081135,SRX26302925,PRJNA1169681,28445,Mycobacterium intermedium,Mycobacterium intermedium,JCM_13572,C00018246,f7653aaf-e450-487b-8491-3dbf8964e91a,ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/082/SRR30899482/SRR30899482_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/082/SRR30899482/SRR30899482_2.fastq.gz,b26e52ff-3c36-457f-a7fc-43452b403736
SRR30899484,SAMN44081133,SRX26302923,PRJNA1169681,1069220,Mycolicibacillus koreensis,Mycobacterium koreense,DSM_45576,C00018227,f9553b0d-9608-4a2a-9c5c-950a914ab390,ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/084/SRR30899484/SRR30899484_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/084/SRR30899484/SRR30899484_2.fastq.gz,02044579-d87a-4157-b0e1-3294245f5d08
SRR30899486,SAMN44081131,SRX26302921,PRJNA1169681,59750,Mycolicibacterium wolinskyi,Mycobacterium wolinskyi,JCM_13393,C00018243,b3d2d904-a78a-4a2c-acd4-7cbb0354d53e,ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/086/SRR30899486/SRR30899486_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/086/SRR30899486/SRR30899486_2.fastq.gz,cffab5a2-3d65-4abc-9011-15ac1061a371
SRR30899490,SAMN44081127,SRX26302917,PRJNA1169681,1794,Mycolicibacterium gadium,Mycobacterium gadium,NCTC_10942,C00016608,b6840fa3-04e0-4d0e-829b-1eb7e34f4be2,ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/090/SRR30899490/SRR30899490_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/090/SRR30899490/SRR30899490_2.fastq.gz,de4928b4-b0d1-4246-ad09-4e2a31fa477e
SRR30899493,SAMN44081125,SRX26302914,PRJNA1169681,43304,Mycolicibacterium peregrinum,Mycobacterium peregrinum,NCTC_10264,C00016645,6c38bc1a-0cd4-4032-8cdc-0b8ff55ff38b,ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/093/SRR30899493/SRR30899493_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/093/SRR30899493/SRR30899493_2.fastq.gz,b0ab4c28-9071-4adc-898f-6967a062b34f
SRR30899494,SAMN44081124,SRX26302913,PRJNA1169681,83262,Mycobacteroides immunogenum,Mycobacterium immunogenum,DSM_45595,C00018229,783a7878-6859-413e-a172-546e2274a593,ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/094/SRR30899494/SRR30899494_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/094/SRR30899494/SRR30899494_2.fastq.gz,c1f3e77c-98f7-414c-891c-f90085cc3d1a
SRR30899496,SAMN44081071,SRX26302911,PRJNA1169681,243061,Mycobacterium sherrisii,Mycobacterium sherrisii,DSM_45441,C00018225,6486df59-98d0-475a-ac5b-48a8b43bd013,ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/096/SRR30899496/SRR30899496_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/096/SRR30899496/SRR30899496_2.fastq.gz,5ddfa20d-33f1-40a1-97ff-9d0ac7839db9
SRR30899498,SAMN44081177,SRX26302909,PRJNA1169681,1778,Mycobacterium gordonae,Mycobacterium gordonae,NCTC_10267,C00018289,bc2f69e7-bc06-489f-8656-8ab28fb57d8c,ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/098/SRR30899498/SRR30899498_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/098/SRR30899498/SRR30899498_2.fastq.gz,a2b8e58d-80d2-4f97-acad-08c2652942ab
SRR30899502,SAMN44081174,SRX26302905,PRJNA1169681,354243,Mycolicibacter kumamotonensis,Mycobacterium kumamotonense,JCM_13453,C00018317,d1f490cc-0dc7-415b-a5d5-41e1db8ce335,ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/002/SRR30899502/SRR30899502_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/002/SRR30899502/SRR30899502_2.fastq.gz,5c0c020d-afa5-400c-87af-e663686a12ab
SRR30899506,SAMN44081170,SRX26302901,PRJNA1169681,75922,Mycolicibacterium tusciae,Mycobacterium tusciae,JCM_12692,C00018315,34ccd720-a5bb-4114-b7be-0b9c1484fe1d,ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/006/SRR30899506/SRR30899506_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/006/SRR30899506/SRR30899506_2.fastq.gz,977ea046-0ce7-4d92-84e3-91647de4e0f5
SRR30899509,SAMN44081167,SRX26302898,PRJNA1169681,1962118,Mycobacteroides abscessus subsp. massiliense,Mycobacterium abscessus subsp. massiliense,JCM_15300,C00018325,018b8b0a-1f2f-476b-a120-f9cd48ec9143,ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/009/SRR30899509/SRR30899509_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/009/SRR30899509/SRR30899509_2.fastq.gz,9a590bd5-f506-49e1-979d-05fa17c655d3
SRR30899512,SAMN44081165,SRX26302895,PRJNA1169681,44454,Mycobacterium avium subsp. avium,Mycobacterium avium subsp. avium,NCTC_08562,C00016639,0eb3f9f1-9ced-4936-94be-cd9daf820759,ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/012/SRR30899512/SRR30899512_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/012/SRR30899512/SRR30899512_2.fastq.gz,29743da7-b3f5-450d-ae6f-f144fe1015a9
SRR30899513,SAMN44081164,SRX26302894,PRJNA1169681,1786,Mycolicibacterium sphagni,Mycobacterium sphagni,DSM_44076,C00018367,33d59a4a-295e-41e7-9418-f0c7b64753e6,ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/013/SRR30899513/SRR30899513_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/013/SRR30899513/SRR30899513_2.fastq.gz,f1af4e90-9d28-4d9b-92e3-a82a7b69ba5a
SRR30899514,SAMN44081163,SRX26302893,PRJNA1169681,39692,Mycolicibacterium parafortuitum,Mycobacterium parafortuitum,NCTC_10411,C00018291,12d9b110-53ac-4154-bd40-3e02055608e7,ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/014/SRR30899514/SRR30899514_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/014/SRR30899514/SRR30899514_2.fastq.gz,d782cb19-6a58-4ddf-9ba7-f7fecc716735
SRR30899516,SAMN44081161,SRX26302891,PRJNA1169681,144550,Mycolicibacterium fortuitum subsp. acetamidolyticum,Mycobacterium fortuitum subsp. acetamidolyticum,JCM_6368,C00018335,0c586ac9-59ce-4df0-bbec-0c7a41c8dd47,ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/016/SRR30899516/SRR30899516_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/016/SRR30899516/SRR30899516_2.fastq.gz,502fe2f8-947c-4d86-9304-bd413c436cce
SRR30899519,SAMN44081158,SRX26302888,PRJNA1169681,153971,Mycobacterium palustre,Mycobacterium palustre,DSM_44572,C00018212,52a4a6dc-9418-47fa-a439-947ac796aa5a,ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/019/SRR30899519/SRR30899519_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/019/SRR30899519/SRR30899519_2.fastq.gz,69d79f44-5e73-4830-989c-5ce048976a8b
