reference,first_contig,strain,assembly_accession,not_used_in_manifest
M.marinum,HG917972.2,E11,GCA_000723425.2,
M.llatzerense,JXST01000001.1,CLUC_14,GCA_000878195.1,
M.hassiacum,LR026975.1,DSM_44199,GCA_900603025.1,
M.saopaulense,LR130759.1,DSM_104308 901379,GCA_900292015.1,
M.flavescens,LR134353.1,NCTC10271,GCA_900637135.1,
M.chitae,LR134355.1,NCTC10485,GCA_900637205.1,
M.aurum,LR134356.1,NCTC10437,GCA_900637195.1,
M.rutilum,LT629971.1,DSM_45405,GCA_900108565.1,
M.terrae,LT906469.1,NCTC10856,GCA_900187145.1,
M.thermoresistibile,LT906483.1,NCTC10409,GCA_900187065.1,
M.porcinum,MVIG01000001.1,IP141460001,GCF_002086835.1,
M.vulneris,NCXM01000001.1,DSM_45247,GCF_002104765.1,
M.sphagni,NOZR01000001.1,ATCC_33027,GCF_002250655.1,
M.palauense,NVQF01000001.1,CECT_8779,GCA_002592005.1,
M.stephanolepidis,NZ_AP018165.1,NJB0901,GCF_002356335.1,
M.koreensis,NZ_AP022594.1,JCM_19956,GCF_010731835.1,
M.senriense,NZ_AP024828.1,TY59,GCF_019668465.1,y
M.brisbanense,NZ_BCSX01000001.1,JCM_15654,GCF_001570425.1,
M.montefiorense,NZ_BFCH01000001.1,BS,GCF_003112775.1,
M.cosmeticum,NZ_CCBB010000001.1,DSM_44829,GCF_000613185.1,
M.immunogenum,NZ_CP011530.1,CCUG_47286,GCF_001605725.1,
M.salmoniphilum,NZ_CP024633.1,DSM_43276,GCF_004924335.1,
M.vicinigordonae,NZ_CP059165.1,24,GCA_013466425.1,
M.bohemicum,NZ_CSTD01000001.1,DSM_44277,GCF_001053185.1,
M.komanii,NZ_CVTA01000001.1,GPK_1020,GCA_001050035.1,
M.malmesburyense,NZ_CVTB01000001.1,WCM_7299,GCF_001050015.1,
M.neworleansense,NZ_CWKH01000001.1,ATCC_49404T,GCF_001245615.1,
M.ahvazicum,NZ_FXEG02000001.1,AFP003,GCF_900176255.2,
M.parascrofulaceum,NZ_GG770553.1,ATCC_BAA-614,GCF_000164135.1,
M.triplex,NZ_HG964446.1,DSM_44626,GCF_000689255.1,
M.asiaticum,NZ_HG964936.1,DSM_44297,GCF_000613245.1,
M.vinylchloridicum,NZ_JACBJQ010000001.1,CECT_8761,GCF_013404075.1,
M.manitobense,NZ_JACKSJ010000001.1,DSM_44615,GCF_025821665.1,
M.frederiksbergense,NZ_JACKTH010000001.1,DSM_45364,GCF_025822145.1,
M.hackensackense,NZ_JACKUC010000001.1,DSM_44833,GCF_025822555.1,
M.arupensis,NZ_JACKUJ010000001.1,DSM_44942,GCF_025822685.1,
M.longobardus,NZ_JACKVG010000001.1,DSM_45394,GCF_025823135.1,
M.houstonense,NZ_JACKVJ010000001.1,DSM_44676,GCF_025823315.1,
M.genavense,NZ_JAGZ01000001.1,ATCC_51234,GCF_000526915.1,
M.acidiphilus,NZ_JAHCLR010000001.1,M1,GCF_018455725.1,
M.alkanivorans,NZ_JAIVFL010000001.1,ANDR5,GCF_022760805.1,
M.lacusdiani,NZ_JAKCFC010000001.1,JXJ CY 35,GCF_021916785.1,
M.aromaticivorans,NZ_JALN02000001.1,JCM+16368,GCF_000559085.1,
M.setense,NZ_JTLZ01000001.1,Manresensis,GCF_000805375.1,
M.chlorophenolicum,NZ_JYNL01000001.1,DSM_43826,GCF_001044235.1,
M.kumamotonensis,NZ_LFOE01000001.1,Roo,GCF_001679965.1,
M.peregrinum,NZ_LN879423.1,CSUR_P2098,GCF_001403655.1,
M.canariasense,NZ_LQOL01000001.1,CCUG_47953,GCF_002101555.1,
M.celatum,NZ_LQOM01000001.1,DSM_44243,GCF_002101595.1,
M.europaeum,NZ_LQOU01000001.1,DSM_45397,GCF_002102155.1,
M.fragae,NZ_LQOW01000001.1,DSM_45731,GCF_002102185.1,
M.gastri,NZ_LQOX01000001.1,DSM_43505,GCA_002102175.1,
M.interjectum,NZ_LQPB01000001.1,DSM_44064,GCF_002102225.1,
M.iranicum,NZ_LQPC01000001.1,DSM_45541,GCF_002101705.1,
M.nebraskense,NZ_LQPH01000001.1,DSM_44803,GCF_002102255.1,
M.nonchromogenicus,NZ_LQPI01000001.1,DSM_44164,GCF_002101775.1,
M.palustre,NZ_LQPJ01000001.1,DSM_44572,GCF_002101785.1,
M.paraense,NZ_LQPM01000001.1,IEC26,GCF_002101815.1,
M.sherrisii,NZ_LQPT01000001.1,ATCC_BAA-832,GCF_002102355.1,
M.szulgai,NZ_LQPW01000001.1,DSM_44166,GCF_002116635.1,
M.trivialis,NZ_LQPZ01000001.1,DSM_44153,GCF_002102395.1,
M.wolinskyi,NZ_LQQA01000001.1,ATCC_700010,GCF_002101965.1,
M.icosiumassiliensis,NZ_LT546165.1,8WA6,GCF_900078685.2,
M.elephantis,NZ_LZHS01000001.1,852002-10318_SCH4845932,GCF_001667535.1,
M.franklinii,NZ_MAFQ01000001.1,CV002,GCF_002013895.1,
M.syngnathidarum,NZ_MLCL01000001.1,27335,GCF_001942625.1,
M.algericus,NZ_MVHC01000001.1,DSM_45454,GCF_002086455.1,y
M.alsense,NZ_MVHD01000001.1,DSM_45230,GCF_002086635.1,
M.angelicum,NZ_MVHE01000001.1,DSM_45057,GCF_002086155.1,
